asset_id,department,asset_type,division,section_id,section_name,km_location,traffic_density,asset_age_years,condition_index,asset_criticality
EN-SEC-B02-012,ENGINEERING,Bridge Approach,Demo Division,SEC-B02,Akola–Bhusawal,266.841,MEDIUM,ACTIVE,13,HIGH
EN-SEC-B02-013,ENGINEERING,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,289.741,MEDIUM,UNDER_MAINTENANCE,15,MEDIUM
EN-SEC-B02-014,ENGINEERING,Weld,Demo Division,SEC-B02,Akola–Bhusawal,333.62,MEDIUM,UNDER_MAINTENANCE,11,MEDIUM
EN-SEC-B02-015,ENGINEERING,Rail,Demo Division,SEC-B02,Akola–Bhusawal,285.247,MEDIUM,UNDER_MAINTENANCE,6,MEDIUM
EN-SEC-B02-016,ENGINEERING,Track Circuit Bond,Demo Division,SEC-B02,Akola–Bhusawal,251.702,MEDIUM,ACTIVE,6,MEDIUM
EN-SEC-B02-017,ENGINEERING,Track Circuit Bond,Demo Division,SEC-B02,Akola–Bhusawal,287.584,MEDIUM,UNDER_MAINTENANCE,14,LOW
EN-SEC-B02-018,ENGINEERING,Rail,Demo Division,SEC-B02,Akola–Bhusawal,283.853,MEDIUM,ACTIVE,5,MEDIUM
EN-SEC-B02-019,ENGINEERING,Rail,Demo Division,SEC-B02,Akola–Bhusawal,331.163,MEDIUM,UNDER_MAINTENANCE,14,LOW
EN-SEC-B02-020,ENGINEERING,Bridge Approach,Demo Division,SEC-B02,Akola–Bhusawal,332.809,MEDIUM,UNDER_MAINTENANCE,7,HIGH
TR-SEC-B02-001,TRACTION,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,289.693,MEDIUM,UNDER_MAINTENANCE,11,MEDIUM
TR-SEC-B02-002,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,246.838,MEDIUM,ACTIVE,9,HIGH
TR-SEC-B02-003,TRACTION,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,282.319,MEDIUM,UNDER_MAINTENANCE,2,HIGH
TR-SEC-B02-004,TRACTION,Feeder,Demo Division,SEC-B02,Akola–Bhusawal,297.994,MEDIUM,ACTIVE,12,HIGH
TR-SEC-B02-005,TRACTION,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,292.667,MEDIUM,UNDER_MAINTENANCE,2,HIGH
TR-SEC-B02-006,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,325.907,MEDIUM,UNDER_MAINTENANCE,2,LOW
TR-SEC-B02-007,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,256.235,MEDIUM,ACTIVE,9,LOW
TR-SEC-B02-008,TRACTION,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,280.242,MEDIUM,UNDER_MAINTENANCE,8,HIGH
TR-SEC-B02-009,TRACTION,Mast,Demo Division,SEC-B02,Akola–Bhusawal,292.706,MEDIUM,UNDER_MAINTENANCE,4,LOW
TR-SEC-B02-010,TRACTION,Dropper,Demo Division,SEC-B02,Akola–Bhusawal,310.61,MEDIUM,ACTIVE,14,HIGH
TR-SEC-B02-011,TRACTION,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,313.032,MEDIUM,UNDER_MAINTENANCE,6,LOW
TR-SEC-B02-012,TRACTION,Section Insulator,Demo Division,SEC-B02,Akola–Bhusawal,317.426,MEDIUM,ACTIVE,12,MEDIUM
TR-SEC-B02-013,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,295.981,MEDIUM,UNDER_MAINTENANCE,14,HIGH
TR-SEC-B02-014,TRACTION,Mast,Demo Division,SEC-B02,Akola–Bhusawal,291.542,MEDIUM,ACTIVE,6,LOW
TR-SEC-B02-015,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,291.987,MEDIUM,UNDER_MAINTENANCE,15,MEDIUM
TR-SEC-B02-016,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,259.418,MEDIUM,ACTIVE,10,MEDIUM
TR-SEC-B02-017,TRACTION,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,320.682,MEDIUM,UNDER_MAINTENANCE,1,MEDIUM
TR-SEC-B02-018,TRACTION,Feeder,Demo Division,SEC-B02,Akola–Bhusawal,285.519,MEDIUM,UNDER_MAINTENANCE,7,LOW
TR-SEC-B02-019,TRACTION,Neutral Section,Demo Division,SEC-B02,Akola–Bhusawal,317.445,MEDIUM,ACTIVE,8,HIGH
TR-SEC-B02-020,TRACTION,Catenary Wire,Demo Division,SEC-B02,Akola–Bhusawal,288.21,MEDIUM,ACTIVE,14,HIGH
S&-SEC-B02-001,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,319.675,MEDIUM,ACTIVE,9,MEDIUM
S&-SEC-B02-002,S&T,Signal,Demo Division,SEC-B02,Akola–Bhusawal,308.42,MEDIUM,UNDER_MAINTENANCE,14,LOW
S&-SEC-B02-003,S&T,Point Machine,Demo Division,SEC-B02,Akola–Bhusawal,248.969,MEDIUM,ACTIVE,6,LOW
S&-SEC-B02-004,S&T,Cable,Demo Division,SEC-B02,Akola–Bhusawal,278.589,MEDIUM,ACTIVE,14,MEDIUM
S&-SEC-B02-005,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,304.006,MEDIUM,UNDER_MAINTENANCE,6,LOW
S&-SEC-B02-006,S&T,Cable,Demo Division,SEC-B02,Akola–Bhusawal,323.567,MEDIUM,UNDER_MAINTENANCE,14,LOW
S&-SEC-B02-007,S&T,Signal,Demo Division,SEC-B02,Akola–Bhusawal,298.783,MEDIUM,ACTIVE,11,LOW
S&-SEC-B02-008,S&T,Axle Counter,Demo Division,SEC-B02,Akola–Bhusawal,333.664,MEDIUM,ACTIVE,7,HIGH
S&-SEC-B02-009,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,300.278,MEDIUM,ACTIVE,8,HIGH
S&-SEC-B02-010,S&T,Cable,Demo Division,SEC-B02,Akola–Bhusawal,269.591,MEDIUM,ACTIVE,1,MEDIUM
S&-SEC-B02-011,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,247.252,MEDIUM,ACTIVE,6,MEDIUM
S&-SEC-B02-012,S&T,Point Machine,Demo Division,SEC-B02,Akola–Bhusawal,264.517,MEDIUM,UNDER_MAINTENANCE,10,LOW
S&-SEC-B02-013,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,258.629,MEDIUM,ACTIVE,2,LOW
S&-SEC-B02-014,S&T,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,277.218,MEDIUM,ACTIVE,8,LOW
S&-SEC-B02-015,S&T,Point Machine,Demo Division,SEC-B02,Akola–Bhusawal,263.415,MEDIUM,ACTIVE,8,MEDIUM
S&-SEC-B02-016,S&T,Cable,Demo Division,SEC-B02,Akola–Bhusawal,242.963,MEDIUM,UNDER_MAINTENANCE,15,MEDIUM
S&-SEC-B02-017,S&T,Cable,Demo Division,SEC-B02,Akola–Bhusawal,292.278,MEDIUM,ACTIVE,8,MEDIUM
S&-SEC-B02-018,S&T,Track Circuit,Demo Division,SEC-B02,Akola–Bhusawal,269.562,MEDIUM,UNDER_MAINTENANCE,12,MEDIUM
S&-SEC-B02-019,S&T,Relay,Demo Division,SEC-B02,Akola–Bhusawal,319.699,MEDIUM,ACTIVE,7,MEDIUM
S&-SEC-B02-020,S&T,Signal,Demo Division,SEC-B02,Akola–Bhusawal,263.875,MEDIUM,ACTIVE,10,MEDIUM
EN-SEC-C01-001,ENGINEERING,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,349.983,LOW,UNDER_MAINTENANCE,5,HIGH
EN-SEC-C01-002,ENGINEERING,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,380.641,LOW,ACTIVE,15,LOW
EN-SEC-C01-003,ENGINEERING,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.824,LOW,ACTIVE,13,HIGH
EN-SEC-C01-004,ENGINEERING,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,377.244,LOW,ACTIVE,11,HIGH
EN-SEC-C01-005,ENGINEERING,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,347.584,LOW,ACTIVE,11,HIGH
EN-SEC-C01-006,ENGINEERING,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,368.873,LOW,ACTIVE,13,MEDIUM
EN-SEC-C01-007,ENGINEERING,Rail,Demo Division,SEC-C01,Bhusawal–Jalgaon,365.281,LOW,ACTIVE,2,MEDIUM
EN-SEC-C01-008,ENGINEERING,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,374.314,LOW,ACTIVE,4,HIGH
EN-SEC-C01-009,ENGINEERING,Bridge Approach,Demo Division,SEC-C01,Bhusawal–Jalgaon,363.12,LOW,ACTIVE,9,LOW
EN-SEC-C01-010,ENGINEERING,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,378.779,LOW,ACTIVE,15,MEDIUM
EN-SEC-C01-011,ENGINEERING,Bridge Approach,Demo Division,SEC-C01,Bhusawal–Jalgaon,349.979,LOW,ACTIVE,13,HIGH
EN-SEC-C01-012,ENGINEERING,Ballast,Demo Division,SEC-C01,Bhusawal–Jalgaon,385.904,LOW,ACTIVE,13,HIGH
EN-SEC-C01-013,ENGINEERING,Bridge Approach,Demo Division,SEC-C01,Bhusawal–Jalgaon,370.486,LOW,UNDER_MAINTENANCE,14,LOW
EN-SEC-C01-014,ENGINEERING,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,338.958,LOW,UNDER_MAINTENANCE,1,MEDIUM
EN-SEC-C01-015,ENGINEERING,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.749,LOW,ACTIVE,11,LOW
EN-SEC-C01-016,ENGINEERING,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,348.204,LOW,UNDER_MAINTENANCE,14,LOW
EN-SEC-C01-017,ENGINEERING,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,339.929,LOW,ACTIVE,8,HIGH
EN-SEC-C01-018,ENGINEERING,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,381.672,LOW,ACTIVE,15,LOW
EN-SEC-C01-019,ENGINEERING,Weld,Demo Division,SEC-C01,Bhusawal–Jalgaon,368.944,LOW,UNDER_MAINTENANCE,15,LOW
EN-SEC-C01-020,ENGINEERING,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,369.029,LOW,ACTIVE,3,HIGH
TR-SEC-C01-001,TRACTION,OHE Contact Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,350.475,LOW,UNDER_MAINTENANCE,2,HIGH
TR-SEC-C01-002,TRACTION,Catenary Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,381.835,LOW,ACTIVE,7,MEDIUM
TR-SEC-C01-003,TRACTION,Section Insulator,Demo Division,SEC-C01,Bhusawal–Jalgaon,370.172,LOW,UNDER_MAINTENANCE,10,LOW
TR-SEC-C01-004,TRACTION,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,342.413,LOW,UNDER_MAINTENANCE,11,HIGH
TR-SEC-C01-005,TRACTION,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.427,LOW,UNDER_MAINTENANCE,5,HIGH
TR-SEC-C01-006,TRACTION,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,354.035,LOW,UNDER_MAINTENANCE,8,HIGH
TR-SEC-C01-007,TRACTION,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,353.613,LOW,ACTIVE,9,LOW
TR-SEC-C01-008,TRACTION,Section Insulator,Demo Division,SEC-C01,Bhusawal–Jalgaon,337.358,LOW,ACTIVE,4,HIGH
TR-SEC-C01-009,TRACTION,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,378.441,LOW,ACTIVE,11,HIGH
TR-SEC-C01-010,TRACTION,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,368.505,LOW,ACTIVE,1,MEDIUM
TR-SEC-C01-011,TRACTION,Catenary Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,387.299,LOW,ACTIVE,2,LOW
TR-SEC-C01-012,TRACTION,Catenary Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,365.647,LOW,ACTIVE,6,HIGH
TR-SEC-C01-013,TRACTION,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.549,LOW,ACTIVE,5,HIGH
TR-SEC-C01-014,TRACTION,Catenary Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,363.164,LOW,ACTIVE,2,LOW
TR-SEC-C01-015,TRACTION,Neutral Section,Demo Division,SEC-C01,Bhusawal–Jalgaon,335.487,LOW,ACTIVE,6,HIGH
TR-SEC-C01-016,TRACTION,Dropper,Demo Division,SEC-C01,Bhusawal–Jalgaon,351.519,LOW,ACTIVE,5,HIGH
TR-SEC-C01-017,TRACTION,Catenary Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,374.004,LOW,ACTIVE,12,HIGH
TR-SEC-C01-018,TRACTION,Mast,Demo Division,SEC-C01,Bhusawal–Jalgaon,358.217,LOW,ACTIVE,9,LOW
TR-SEC-C01-019,TRACTION,OHE Contact Wire,Demo Division,SEC-C01,Bhusawal–Jalgaon,358.418,LOW,ACTIVE,10,HIGH
TR-SEC-C01-020,TRACTION,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,376.238,LOW,ACTIVE,8,LOW
S&-SEC-C01-001,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,337.372,LOW,UNDER_MAINTENANCE,14,MEDIUM
S&-SEC-C01-002,S&T,Relay,Demo Division,SEC-C01,Bhusawal–Jalgaon,371.012,LOW,UNDER_MAINTENANCE,12,MEDIUM
S&-SEC-C01-003,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,382.481,LOW,ACTIVE,10,HIGH
S&-SEC-C01-004,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.889,LOW,ACTIVE,7,LOW
S&-SEC-C01-005,S&T,Track Circuit,Demo Division,SEC-C01,Bhusawal–Jalgaon,349.965,LOW,UNDER_MAINTENANCE,2,LOW
S&-SEC-C01-006,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,379.98,LOW,ACTIVE,7,MEDIUM
S&-SEC-C01-007,S&T,Point Machine,Demo Division,SEC-C01,Bhusawal–Jalgaon,356.363,LOW,UNDER_MAINTENANCE,7,MEDIUM
S&-SEC-C01-008,S&T,Cable,Demo Division,SEC-C01,Bhusawal–Jalgaon,339.216,LOW,UNDER_MAINTENANCE,6,LOW
S&-SEC-C01-009,S&T,Axle Counter,Demo Division,SEC-C01,Bhusawal–Jalgaon,354.237,LOW,ACTIVE,11,MEDIUM
S&-SEC-C01-010,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,339.008,LOW,ACTIVE,2,MEDIUM
S&-SEC-C01-011,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,374.159,LOW,ACTIVE,13,HIGH
S&-SEC-C01-012,S&T,Track Circuit,Demo Division,SEC-C01,Bhusawal–Jalgaon,337.327,LOW,ACTIVE,11,HIGH
S&-SEC-C01-013,S&T,Relay,Demo Division,SEC-C01,Bhusawal–Jalgaon,353.124,LOW,UNDER_MAINTENANCE,14,LOW
S&-SEC-C01-014,S&T,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,386.2,LOW,ACTIVE,6,HIGH
S&-SEC-C01-015,S&T,Track Circuit,Demo Division,SEC-C01,Bhusawal–Jalgaon,361.399,LOW,ACTIVE,11,MEDIUM
S&-SEC-C01-016,S&T,Point Machine,Demo Division,SEC-C01,Bhusawal–Jalgaon,379.683,LOW,ACTIVE,14,LOW
S&-SEC-C01-017,S&T,Axle Counter,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.281,LOW,ACTIVE,10,HIGH
S&-SEC-C01-018,S&T,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,357.186,LOW,ACTIVE,10,LOW
S&-SEC-C01-019,S&T,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,371.409,LOW,ACTIVE,3,MEDIUM
S&-SEC-C01-020,S&T,Cable,Demo Division,SEC-C01,Bhusawal–Jalgaon,375.118,LOW,ACTIVE,6,HIGH
